Current / A, Power / W, Standard deviation of power / W
2.5e-05, 1.0288480860000001e-08, 5.853486421990407e-10
5e-05, 1.8864883899999998e-08, 5.820006992872004e-10
7.5e-05, 3.2745546500000004e-08, 2.7081419793444638e-09
0.0001, 4.4264178e-08, 1.1070582302011044e-09
0.000125, 5.43363236e-08, 1.258287026295288e-09
0.00015, 6.52407023e-08, 1.1810024031155531e-09
0.000175, 7.546812380000001e-08, 1.096363653270921e-09
0.0002, 8.676133039999999e-08, 1.183897995697197e-09
0.000225, 9.75786085e-08, 1.3481425887634254e-09
0.00025, 1.09055337e-07, 1.1286944845399928e-09
0.000275, 1.2076252200000002e-07, 1.1833596720845281e-09
0.0003, 1.3215172299999998e-07, 1.3597077988564294e-09
0.000325, 1.4356191900000002e-07, 1.129713153167203e-09
0.00035, 1.5547527400000002e-07, 1.2052341701611372e-09
0.000375, 1.6684641700000001e-07, 1.080489181394707e-09
0.0004, 1.7906618499999998e-07, 1.0753268353272898e-09
0.000425, 1.90926803e-07, 1.1874505986317914e-09
0.00045, 2.0270531400000002e-07, 1.1118323306164416e-09
0.000475, 2.14404099e-07, 1.194229938160572e-09
0.0005, 2.2643693200000002e-07, 1.1849794797278157e-09
0.000525, 2.3845594499999993e-07, 1.3224574034633384e-09
0.00055, 2.50393903e-07, 1.1373414331637662e-09
0.000575, 2.6227386099999996e-07, 1.1279146978734735e-09
0.0006, 2.7445909300000003e-07, 1.228834158196706e-09
0.000625, 2.86291367e-07, 1.346542384892135e-09
0.00065, 2.9844636700000003e-07, 1.1404697910558586e-09
0.000675, 3.10829651e-07, 1.1276429546620629e-09
0.0007, 3.23123011e-07, 1.1521905436510938e-09
0.000725, 3.34964512e-07, 1.3892008731123108e-09
0.00075, 3.47364518e-07, 1.1353346721015828e-09
0.000775, 3.5986987700000004e-07, 1.252172780358607e-09
0.0008, 3.7170524800000006e-07, 1.3988447213668813e-09
0.000825, 3.83791489e-07, 1.1204057692992298e-09
0.00085, 3.9617264999999996e-07, 1.1986137032004946e-09
0.000875, 4.08149845e-07, 1.279497097681354e-09
0.0009, 4.2077839800000005e-07, 1.1102560288492048e-09
0.000925, 4.3295300900000003e-07, 1.3227905612450546e-09
0.00095, 4.4270143000000007e-07, 2.9045090509585187e-09
0.000975, 4.52408334e-07, 7.292195173224617e-10
0.001, 4.6452242100000003e-07, 6.073755887085019e-10
0.001025, 4.7702563e-07, 7.11332965003033e-10
0.00105, 4.89337517e-07, 7.412987897676673e-10
0.001075, 5.01256925e-07, 5.754978969336088e-10
0.0011, 5.134866450000001e-07, 7.566329552530783e-10
0.001125, 5.256679170000001e-07, 5.855537909628858e-10
0.00115, 5.3811359e-07, 7.015766429264869e-10
0.001175, 5.505865990000001e-07, 7.865296588171359e-10
0.0012, 5.628773019999999e-07, 6.537099332242066e-10
0.001225, 5.75214878e-07, 6.582283791481506e-10
0.00125, 5.87607273e-07, 8.046918295043149e-10
0.001275, 5.99849534e-07, 5.752588485577644e-10
0.0013, 6.12459716e-07, 7.462641471650605e-10
0.001325, 6.248671919999999e-07, 6.795748208519803e-10
0.00135, 6.373503610000001e-07, 6.33179889667234e-10
0.001375, 6.497871369999998e-07, 7.124277129863776e-10
0.0014, 6.62038319e-07, 6.003536301539153e-10
0.001425, 6.744423750000001e-07, 6.277708645477267e-10
0.00145, 6.86813755e-07, 6.800834470673487e-10
0.001475, 6.99172028e-07, 6.446657530969143e-10
0.0015, 7.11761417e-07, 6.341535816432744e-10
