Current / A, Power / W, Standard deviation of power / W
2.5e-05, 1.2719601800000001e-08, 7.202714836481868e-10
5e-05, 2.1240247600000003e-08, 6.517508162896613e-10
7.5e-05, 3.056641820000001e-08, 6.052870395512859e-10
0.0001, 4.09897061e-08, 1.2487934424686854e-09
0.000125, 5.119163090000001e-08, 6.444465100496626e-10
0.00015, 6.20922624e-08, 7.160539157816528e-10
0.000175, 7.29630013e-08, 5.923753178081542e-10
0.0002, 8.40249785e-08, 6.890131917371047e-10
0.000225, 9.513616760000002e-08, 1.2895553634762022e-09
0.00025, 1.1024990900000001e-07, 2.166603276264253e-09
0.000275, 1.23001672e-07, 1.1077640517799828e-09
0.0003, 1.3422730099999998e-07, 1.2639095989820654e-09
0.000325, 1.4620661199999998e-07, 1.2038807089807516e-09
0.00035, 1.5748906600000002e-07, 1.0656836714729109e-09
0.000375, 1.6935820000000004e-07, 1.3346115142617368e-09
0.0004, 1.80990502e-07, 1.1105177837369396e-09
0.000425, 1.92866669e-07, 1.1400784216180065e-09
0.00045, 2.0475016500000002e-07, 1.2154212848946647e-09
0.000475, 2.16364947e-07, 1.266715762194101e-09
0.0005, 2.2843136400000004e-07, 1.207907786010176e-09
0.000525, 2.40593796e-07, 1.219043571158965e-09
0.00055, 2.5218333799999996e-07, 1.2362548045431357e-09
0.000575, 2.64428182e-07, 1.077906420277754e-09
0.0006, 2.76660126e-07, 1.2331881081667978e-09
0.000625, 2.8828211e-07, 1.352923685911368e-09
0.00065, 3.0045636e-07, 1.089945718097926e-09
0.000675, 3.1266423e-07, 1.1152120466978422e-09
0.0007, 3.24561329e-07, 1.4314211633055463e-09
0.000725, 3.36823906e-07, 1.149802971453806e-09
0.00075, 3.49042052e-07, 1.0444716383396923e-09
0.000775, 3.614070509999999e-07, 1.1186387434730685e-09
0.0008, 3.73284049e-07, 1.27429629545055e-09
0.000825, 3.85573581e-07, 1.1081202152469673e-09
0.00085, 3.97814234e-07, 1.179754014718321e-09
0.000875, 4.09924132e-07, 1.30836107576464e-09
0.0009, 4.2211546800000005e-07, 1.1624326625555591e-09
0.000925, 4.34512473e-07, 1.17605438193606e-09
0.00095, 4.46761445e-07, 1.2201458441411834e-09
0.000975, 4.5879667299999995e-07, 1.1955407889616249e-09
0.001, 4.7119969100000003e-07, 1.1543023622599958e-09
